Sales Person,Country,Product,Date,Amount,Boxes Shipped
Van Tuxwell,Canada,Manuka Honey Choco,2024-02-24,9426.56,49
Wilone O'Kielt,New Zealand,Almond Choco,2024-03-15,9770.28,154
Oby Sorrel,New Zealand,Baker's Choco Chips,2024-04-25,14234.61,45
Dennison Crosswaite,Australia,Organic Choco Syrup,2024-05-10,6885.01,40
Marney O'Breen,Australia,Spicy Special Slims,2024-06-23,14687.62,293
Beverie Moffet,Canada,Smooth Sliky Salty,2024-02-28,16585.43,388
Brien Boise,USA,Organic Choco Syrup,2024-05-25,17415.67,148
Roddy Speechley,New Zealand,Baker's Choco Chips,2024-02-22,5954.47,236
Van Tuxwell,UK,85% Dark Bars,2024-07-11,4179.91,140
Marney O'Breen,Canada,Spicy Special Slims,2024-01-03,3939.95,365
Rafaelita Blaksland,New Zealand,70% Dark Bites,2024-08-24,791.19,280
Beverie Moffet,USA,50% Dark Bites,2024-07-28,2941.65,360
Brien Boise,USA,Mint Chip Choco,2024-05-25,12476.68,162
Karlen McCaffrey,New Zealand,Eclairs,2024-05-06,2817.14,191
Barr Faughny,India,Drinking Coco,2024-01-28,2411.52,144
Marney O'Breen,UK,Orange Choco,2024-06-06,13072.74,11
Brien Boise,New Zealand,Baker's Choco Chips,2024-07-12,6790.41,26
Ches Bonnell,Canada,Spicy Special Slims,2024-08-05,6092.47,201
Brien Boise,USA,Orange Choco,2024-01-28,7185.5,152
Kaine Padly,India,Spicy Special Slims,2024-08-31,6170.8,138
Mallorie Waber,USA,50% Dark Bites,2024-04-19,1945.05,14
Mallorie Waber,UK,Mint Chip Choco,2024-06-29,6767.42,2
Beverie Moffet,India,Choco Coated Almonds,2024-02-24,3911.69,254
Madelene Upcott,UK,Smooth Sliky Salty,2024-03-04,16733.76,88
Gigi Bohling,India,Eclairs,2024-06-21,3916.92,74
Rafaelita Blaksland,Australia,Organic Choco Syrup,2024-01-26,1082.69,106
Oby Sorrel,New Zealand,White Choc,2024-06-10,4822.33,42
Andria Kimpton,UK,Drinking Coco,2024-05-23,1827.45,66
Kelci Walkden,India,Milk Bars,2024-04-15,1142.41,111
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,2024-01-31,6290.89,232
Andria Kimpton,New Zealand,Organic Choco Syrup,2024-03-04,5616.01,43
Barr Faughny,New Zealand,After Nines,2024-04-19,11250.69,91
Beverie Moffet,UK,Almond Choco,2024-05-16,2799.42,104
Oby Sorrel,Australia,Raspberry Choco,2024-02-17,1157.88,114
Dennison Crosswaite,USA,Raspberry Choco,2024-01-18,7049.32,273
Roddy Speechley,Canada,Orange Choco,2024-02-09,9460.5,84
Mallorie Waber,Canada,Orange Choco,2024-03-23,4173.73,175
Madelene Upcott,New Zealand,Caramel Stuffed Bars,2024-02-01,4005.08,150
Mallorie Waber,India,Drinking Coco,2024-03-07,4650.58,143
Ches Bonnell,UK,White Choc,2024-01-03,3814.56,220
Ches Bonnell,USA,White Choc,2024-02-11,6321.35,325
Dennison Crosswaite,New Zealand,Orange Choco,2024-03-16,5245.53,144
Dotty Strutley,India,White Choc,2024-08-15,12998.67,317
Gigi Bohling,India,Manuka Honey Choco,2024-05-12,5932.12,79
Van Tuxwell,India,Spicy Special Slims,2024-04-11,6811.55,4
Jan Morforth,New Zealand,Mint Chip Choco,2024-06-30,21381.14,311
Dotty Strutley,New Zealand,White Choc,2024-06-15,8423.36,63
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,2024-08-01,7951.43,109
Kaine Padly,USA,Milk Bars,2024-06-15,18389.1,62
Brien Boise,India,After Nines,2024-06-16,6555.46,45
Oby Sorrel,New Zealand,Raspberry Choco,2024-05-13,5129.71,270
Dennison Crosswaite,USA,Drinking Coco,2024-05-10,2399.02,149
Oby Sorrel,India,Eclairs,2024-08-25,6096.53,344
Ches Bonnell,New Zealand,Organic Choco Syrup,2024-07-15,8134.67,83
Gigi Bohling,UK,Baker's Choco Chips,2024-05-16,9969.65,449
Jan Morforth,Australia,50% Dark Bites,2024-06-14,3894.16,173
Beverie Moffet,Australia,Smooth Sliky Salty,2024-01-25,11533.35,491
Ches Bonnell,USA,Organic Choco Syrup,2024-07-28,8754.31,14
Brien Boise,Canada,Mint Chip Choco,2024-01-28,5475.65,194
Kaine Padly,UK,Orange Choco,2024-06-29,2252.94,196
Karlen McCaffrey,Australia,70% Dark Bites,2024-06-24,278.78,332
Gunar Cockshoot,Canada,Mint Chip Choco,2024-07-01,8936.91,442
Roddy Speechley,USA,Peanut Butter Cubes,2024-02-25,2010.22,144
Curtice Advani,Canada,Smooth Sliky Salty,2024-08-01,2901.91,12
Oby Sorrel,Australia,Milk Bars,2024-06-21,9231.31,278
Camilla Castle,New Zealand,Spicy Special Slims,2024-01-25,12744.67,26
Gigi Bohling,UK,Milk Bars,2024-05-17,1436.97,248
Andria Kimpton,Australia,85% Dark Bars,2024-08-23,4900.32,254
Camilla Castle,Australia,Smooth Sliky Salty,2024-03-03,8263.11,129
Roddy Speechley,India,Caramel Stuffed Bars,2024-05-30,10139.68,552
Karlen McCaffrey,USA,Drinking Coco,2024-06-29,132.68,243
Andria Kimpton,Canada,Organic Choco Syrup,2024-01-04,9479.63,217
Jehu Rudeforth,Australia,Drinking Coco,2024-01-14,3114.84,65
Karlen McCaffrey,USA,Mint Chip Choco,2024-02-15,17866.48,58
Curtice Advani,New Zealand,Spicy Special Slims,2024-01-10,4651.03,494
Madelene Upcott,USA,White Choc,2024-05-04,14360.42,218
Andria Kimpton,USA,Spicy Special Slims,2024-05-23,2595.52,5
Barr Faughny,New Zealand,Fruit & Nut Bars,2024-04-26,1853.03,153
Oby Sorrel,Canada,Organic Choco Syrup,2024-07-05,1392.99,70
Madelene Upcott,UK,Organic Choco Syrup,2024-07-21,7943.17,174
Dotty Strutley,USA,Mint Chip Choco,2024-02-21,5552.79,272
Kelci Walkden,USA,Orange Choco,2024-02-03,1539.14,143
Gigi Bohling,Australia,Caramel Stuffed Bars,2024-07-08,9117.77,154
Mallorie Waber,India,50% Dark Bites,2024-05-31,631.02,140
Van Tuxwell,New Zealand,Mint Chip Choco,2024-06-27,4486.37,104
Van Tuxwell,India,50% Dark Bites,2024-05-13,5591.29,132
Van Tuxwell,USA,Manuka Honey Choco,2024-05-31,2662.54,102
Wilone O'Kielt,USA,Orange Choco,2024-02-28,7481.93,38
Barr Faughny,New Zealand,Eclairs,2024-03-28,7418.41,31
Gigi Bohling,USA,After Nines,2024-01-14,1969.06,235
Barr Faughny,New Zealand,Mint Chip Choco,2024-02-21,7197.75,159
Dennison Crosswaite,Canada,85% Dark Bars,2024-08-01,11719.06,87
Beverie Moffet,New Zealand,Smooth Sliky Salty,2024-05-19,2755.14,63
Husein Augar,USA,White Choc,2024-07-13,2438.56,61
Andria Kimpton,Australia,Peanut Butter Cubes,2024-04-20,7661.86,144
Dennison Crosswaite,India,85% Dark Bars,2024-06-30,4886.15,23
Curtice Advani,UK,50% Dark Bites,2024-03-08,3572.26,156
Gunar Cockshoot,USA,Fruit & Nut Bars,2024-03-09,6937.75,94
Oby Sorrel,Canada,Raspberry Choco,2024-06-16,1941.25,221
Gigi Bohling,UK,Drinking Coco,2024-06-30,6173.15,46
Kelci Walkden,India,Mint Chip Choco,2024-07-28,3105.45,116
Karlen McCaffrey,Canada,Peanut Butter Cubes,2024-08-12,3691.6,154
Barr Faughny,UK,Mint Chip Choco,2024-07-07,3950.65,324
Barr Faughny,USA,85% Dark Bars,2024-08-25,13497.17,49
Husein Augar,Canada,Eclairs,2024-01-17,4389.23,241
Jan Morforth,Australia,70% Dark Bites,2024-03-04,6310.98,366
Marney O'Breen,New Zealand,Fruit & Nut Bars,2024-08-25,9693.37,4
Ches Bonnell,UK,Peanut Butter Cubes,2024-04-15,2348.2,266
Kaine Padly,USA,Organic Choco Syrup,2024-03-11,2518.5,24
Camilla Castle,USA,Raspberry Choco,2024-05-20,3516.72,17
Brien Boise,New Zealand,Manuka Honey Choco,2024-06-14,16807.37,44
Jehu Rudeforth,New Zealand,After Nines,2024-04-14,1736.59,70
Jehu Rudeforth,USA,Smooth Sliky Salty,2024-07-07,7900.11,168
Madelene Upcott,India,Mint Chip Choco,2024-08-24,4016.89,71
Jehu Rudeforth,India,Eclairs,2024-02-24,9642.62,140
Karlen McCaffrey,Canada,Raspberry Choco,2024-05-09,773.7,217
Kaine Padly,Australia,70% Dark Bites,2024-02-08,7852.03,240
Roddy Speechley,UK,70% Dark Bites,2024-03-24,1649.57,293
Rafaelita Blaksland,USA,Drinking Coco,2024-06-20,9333.45,78
Mallorie Waber,Canada,Manuka Honey Choco,2024-03-07,1540.11,117
Kaine Padly,Australia,Fruit & Nut Bars,2024-06-20,7840.94,82
Oby Sorrel,New Zealand,Organic Choco Syrup,2024-02-17,17102.97,267
Madelene Upcott,UK,99% Dark & Pure,2024-01-26,11496.42,49
Madelene Upcott,Australia,Mint Chip Choco,2024-05-02,3072.89,166
Curtice Advani,Canada,99% Dark & Pure,2024-07-07,14990.79,7
Rafaelita Blaksland,Australia,Baker's Choco Chips,2024-08-22,3170.18,49
Karlen McCaffrey,Australia,After Nines,2024-08-11,2528.14,67
Marney O'Breen,UK,99% Dark & Pure,2024-01-13,8551.6,208
Gunar Cockshoot,Australia,50% Dark Bites,2024-03-02,13072.95,119
Marney O'Breen,Australia,Choco Coated Almonds,2024-07-27,11987.26,41
Kelci Walkden,New Zealand,Drinking Coco,2024-03-10,18385.44,116
Beverie Moffet,USA,85% Dark Bars,2024-08-23,14028.4,344
Roddy Speechley,USA,Eclairs,2024-04-25,4812.71,169
Dennison Crosswaite,UK,Milk Bars,2024-03-07,11963.91,446
Wilone O'Kielt,UK,Organic Choco Syrup,2024-07-12,5574.83,52
Madelene Upcott,USA,Orange Choco,2024-05-16,9205.15,144
Gunar Cockshoot,India,Smooth Sliky Salty,2024-03-02,4133.74,69
Marney O'Breen,New Zealand,85% Dark Bars,2024-05-30,1312.23,164
Marney O'Breen,UK,Manuka Honey Choco,2024-06-10,11735.75,185
Brien Boise,USA,99% Dark & Pure,2024-07-25,7650.76,358
Beverie Moffet,New Zealand,Mint Chip Choco,2024-06-09,4994.93,98
Dennison Crosswaite,USA,Milk Bars,2024-05-12,890.78,62
Gunar Cockshoot,USA,Drinking Coco,2024-05-09,4142.16,5
Brien Boise,Canada,Manuka Honey Choco,2024-08-09,7308.24,178
Van Tuxwell,India,Choco Coated Almonds,2024-04-13,6833.86,115
Andria Kimpton,USA,Caramel Stuffed Bars,2024-05-02,8878.27,47
Dotty Strutley,USA,99% Dark & Pure,2024-08-09,4134.93,307
Camilla Castle,Australia,Raspberry Choco,2024-08-23,6641.89,188
Gunar Cockshoot,India,Spicy Special Slims,2024-05-13,7117.3,174
Karlen McCaffrey,USA,Manuka Honey Choco,2024-02-01,11815.59,68
Camilla Castle,USA,50% Dark Bites,2024-06-23,6962.79,303
Madelene Upcott,UK,Choco Coated Almonds,2024-05-24,11786.42,147
Jan Morforth,Canada,Mint Chip Choco,2024-04-01,1200.19,224
Camilla Castle,Canada,70% Dark Bites,2024-07-27,10791.08,166
Ches Bonnell,India,Peanut Butter Cubes,2024-01-27,26170.95,224
Jan Morforth,India,Choco Coated Almonds,2024-08-12,2987.81,136
Gigi Bohling,Canada,Almond Choco,2024-02-01,11705.99,47
Rafaelita Blaksland,India,After Nines,2024-03-02,5256.03,201
Kelci Walkden,Australia,99% Dark & Pure,2024-06-30,3794.1,36
Dotty Strutley,Australia,Spicy Special Slims,2024-01-17,9655.3,97
Brien Boise,USA,Milk Bars,2024-07-07,16001.54,133
Mallorie Waber,New Zealand,Mint Chip Choco,2024-01-31,1386.1,104
Beverie Moffet,UK,99% Dark & Pure,2024-08-10,3821.76,122
Beverie Moffet,USA,Peanut Butter Cubes,2024-08-18,15722.43,351
Brien Boise,New Zealand,White Choc,2024-06-15,6287.25,340
Marney O'Breen,USA,Baker's Choco Chips,2024-01-26,9831.97,9
Kelci Walkden,USA,Spicy Special Slims,2024-04-29,90.36,73
Mallorie Waber,Canada,White Choc,2024-03-03,3799.5,71
Kaine Padly,Australia,Almond Choco,2024-02-22,4674.2,422
Oby Sorrel,USA,Smooth Sliky Salty,2024-03-04,4011.83,169
Dennison Crosswaite,India,Smooth Sliky Salty,2024-07-07,3429.85,9
Camilla Castle,New Zealand,Caramel Stuffed Bars,2024-06-17,4920.68,380
Jan Morforth,Canada,Caramel Stuffed Bars,2024-08-02,10049.72,118
Oby Sorrel,USA,Baker's Choco Chips,2024-08-12,8485.1,120
Madelene Upcott,New Zealand,Peanut Butter Cubes,2024-01-28,6030.31,351
Kelci Walkden,Australia,Orange Choco,2024-04-29,13331.77,443
Marney O'Breen,Australia,Manuka Honey Choco,2024-04-05,15245.95,233
Kaine Padly,Canada,Manuka Honey Choco,2024-01-18,11618.55,133
Jehu Rudeforth,UK,Baker's Choco Chips,2024-05-16,2629.59,98
Kelci Walkden,Australia,White Choc,2024-08-24,10089.49,168
Curtice Advani,India,85% Dark Bars,2024-01-18,308.24,402
Kaine Padly,USA,Eclairs,2024-08-22,7978.76,10
Gunar Cockshoot,UK,99% Dark & Pure,2024-03-07,8.16,84
Beverie Moffet,UK,Choco Coated Almonds,2024-03-04,3303.13,73
Dotty Strutley,Canada,Manuka Honey Choco,2024-04-22,13959.74,113
Kaine Padly,Australia,Milk Bars,2024-06-09,4251.42,91
Jan Morforth,Canada,Fruit & Nut Bars,2024-07-25,9885.53,217
Jan Morforth,India,Smooth Sliky Salty,2024-08-03,12864.47,93
Rafaelita Blaksland,Australia,Manuka Honey Choco,2024-08-03,5245.6,144
Jehu Rudeforth,UK,Milk Bars,2024-05-03,14345.5,219
Husein Augar,Canada,After Nines,2024-01-19,11462.19,288
Roddy Speechley,USA,50% Dark Bites,2024-02-11,11667.94,306
Van Tuxwell,India,Almond Choco,2024-06-14,7455.17,383
Kelci Walkden,USA,50% Dark Bites,2024-03-23,7203.64,234
Madelene Upcott,Canada,85% Dark Bars,2024-02-17,8081.58,105
Dennison Crosswaite,Canada,Smooth Sliky Salty,2024-03-17,2055.4,485
Mallorie Waber,Australia,Spicy Special Slims,2024-06-29,6476.09,304
Ches Bonnell,Canada,Choco Coated Almonds,2024-08-24,17490.08,289
Gigi Bohling,Canada,Spicy Special Slims,2024-07-04,13644.0,281
Roddy Speechley,New Zealand,Almond Choco,2024-03-28,2930.46,70
Curtice Advani,India,Smooth Sliky Salty,2024-04-19,22717.09,143
Ches Bonnell,New Zealand,Mint Chip Choco,2024-01-18,9471.72,248
Van Tuxwell,New Zealand,Fruit & Nut Bars,2024-01-17,3400.47,92
Andria Kimpton,New Zealand,Mint Chip Choco,2024-02-15,10696.21,201
Andria Kimpton,UK,Milk Bars,2024-02-11,17101.67,307
Camilla Castle,USA,Manuka Honey Choco,2024-03-21,18936.88,180
Gunar Cockshoot,New Zealand,Almond Choco,2024-01-05,6015.37,136
Brien Boise,India,Raspberry Choco,2024-05-30,7623.58,162
Jehu Rudeforth,USA,99% Dark & Pure,2024-01-04,2996.83,227
Beverie Moffet,Australia,Fruit & Nut Bars,2024-04-22,1718.97,260
Gigi Bohling,Canada,Milk Bars,2024-02-10,3523.33,114
Dotty Strutley,India,Spicy Special Slims,2024-08-12,1092.36,209
Gunar Cockshoot,USA,Organic Choco Syrup,2024-08-10,2495.71,310
Kelci Walkden,Australia,Raspberry Choco,2024-06-07,813.41,58
Jehu Rudeforth,India,Baker's Choco Chips,2024-06-06,2489.06,81
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2024-04-05,5701.35,201
Wilone O'Kielt,USA,50% Dark Bites,2024-04-18,5084.32,126
Andria Kimpton,India,50% Dark Bites,2024-01-31,15789.48,16
Madelene Upcott,USA,Baker's Choco Chips,2024-08-22,6541.75,141
Jehu Rudeforth,Australia,99% Dark & Pure,2024-02-25,11409.11,217
Jan Morforth,Australia,Mint Chip Choco,2024-02-22,19258.41,99
Oby Sorrel,New Zealand,Milk Bars,2024-01-12,5074.86,201
Brien Boise,UK,Almond Choco,2024-05-25,115.9,120
Kelci Walkden,India,Smooth Sliky Salty,2024-02-01,2797.19,9
Rafaelita Blaksland,UK,Eclairs,2024-04-27,1608.04,75
Gigi Bohling,USA,Smooth Sliky Salty,2024-07-22,2960.99,133
Curtice Advani,New Zealand,Mint Chip Choco,2024-01-26,3703.51,260
Curtice Advani,USA,Mint Chip Choco,2024-08-24,5679.57,285
Madelene Upcott,New Zealand,Fruit & Nut Bars,2024-01-18,6764.17,20
Karlen McCaffrey,India,85% Dark Bars,2024-03-30,1108.85,87
Ches Bonnell,Australia,Caramel Stuffed Bars,2024-01-17,9477.32,160
Kelci Walkden,USA,Fruit & Nut Bars,2024-02-17,5301.93,155
Kelci Walkden,Canada,Peanut Butter Cubes,2024-04-08,8041.25,43
Gigi Bohling,Canada,Drinking Coco,2024-07-06,3716.17,89
Husein Augar,India,Fruit & Nut Bars,2024-04-04,4591.77,222
Jan Morforth,New Zealand,Organic Choco Syrup,2024-03-02,1928.33,217
Gigi Bohling,New Zealand,Raspberry Choco,2024-08-09,1225.12,186
Dennison Crosswaite,Australia,Milk Bars,2024-06-09,11326.55,296
Ches Bonnell,UK,Caramel Stuffed Bars,2024-06-02,3063.08,301
Van Tuxwell,USA,Fruit & Nut Bars,2024-07-05,7093.33,233
Andria Kimpton,Canada,Eclairs,2024-08-11,337.37,120
Madelene Upcott,India,Choco Coated Almonds,2024-02-11,3764.59,158
Kelci Walkden,New Zealand,Spicy Special Slims,2024-08-11,695.32,68
Roddy Speechley,Australia,Drinking Coco,2024-05-12,14609.99,111
Wilone O'Kielt,USA,Milk Bars,2024-07-15,5298.68,96
Andria Kimpton,India,Organic Choco Syrup,2024-01-18,4552.3,132
Madelene Upcott,UK,Fruit & Nut Bars,2024-01-05,9099.26,199
Curtice Advani,Australia,50% Dark Bites,2024-06-29,603.97,239
Brien Boise,Canada,Raspberry Choco,2024-06-14,3172.23,46
Gunar Cockshoot,India,Mint Chip Choco,2024-08-08,4737.32,74
Dennison Crosswaite,India,Mint Chip Choco,2024-03-23,15201.56,142
Barr Faughny,India,Caramel Stuffed Bars,2024-01-04,7912.62,106
Brien Boise,India,Milk Bars,2024-02-22,14190.78,269
Beverie Moffet,UK,Spicy Special Slims,2024-02-17,9327.08,259
Barr Faughny,USA,Almond Choco,2024-02-03,434.42,83
Van Tuxwell,Canada,Raspberry Choco,2024-03-17,1497.58,132
Wilone O'Kielt,Australia,Baker's Choco Chips,2024-01-25,3124.74,155
Brien Boise,Australia,Milk Bars,2024-07-27,2356.21,54
Husein Augar,Australia,Fruit & Nut Bars,2024-01-28,8548.0,55
Madelene Upcott,Australia,Organic Choco Syrup,2024-07-05,12094.34,52
Van Tuxwell,India,White Choc,2024-03-15,2119.42,46
Gunar Cockshoot,Canada,After Nines,2024-08-04,3038.32,220
Jan Morforth,USA,Fruit & Nut Bars,2024-06-27,5187.72,382
Jan Morforth,Canada,After Nines,2024-07-13,5384.52,180
Barr Faughny,New Zealand,Manuka Honey Choco,2024-02-24,6575.07,249
Karlen McCaffrey,New Zealand,85% Dark Bars,2024-06-28,6350.37,59
Oby Sorrel,Australia,85% Dark Bars,2024-06-30,7488.06,28
Curtice Advani,Canada,Choco Coated Almonds,2024-08-18,6997.57,7
Kaine Padly,India,70% Dark Bites,2024-01-24,13081.57,324
Beverie Moffet,USA,White Choc,2024-03-11,5964.72,136
Ches Bonnell,New Zealand,After Nines,2024-06-23,6651.11,377
Husein Augar,India,Spicy Special Slims,2024-08-22,2606.11,31
Gunar Cockshoot,Canada,50% Dark Bites,2024-01-04,3615.98,24
Curtice Advani,India,Milk Bars,2024-04-05,3658.27,210
Beverie Moffet,India,Milk Bars,2024-04-15,1997.46,314
Husein Augar,Australia,White Choc,2024-05-11,3618.67,213
Andria Kimpton,Canada,Manuka Honey Choco,2024-07-21,5538.85,492
Jan Morforth,New Zealand,Orange Choco,2024-02-11,1382.49,86
Andria Kimpton,Canada,Smooth Sliky Salty,2024-07-08,1223.79,81
Gunar Cockshoot,UK,Raspberry Choco,2024-08-11,8043.29,344
Husein Augar,New Zealand,After Nines,2024-08-04,6878.47,7
Andria Kimpton,New Zealand,Orange Choco,2024-06-14,9420.22,94
Dennison Crosswaite,UK,Baker's Choco Chips,2024-01-17,2516.34,293
Jehu Rudeforth,Canada,Orange Choco,2024-06-23,4334.75,529
Jehu Rudeforth,UK,Smooth Sliky Salty,2024-08-24,1588.49,111
Andria Kimpton,UK,Caramel Stuffed Bars,2024-06-07,8959.38,271
Jan Morforth,UK,White Choc,2024-06-22,9409.06,46
Dotty Strutley,USA,Fruit & Nut Bars,2024-07-13,3315.64,268
Kelci Walkden,UK,Choco Coated Almonds,2024-05-24,10920.7,210
Gunar Cockshoot,New Zealand,After Nines,2024-08-09,7605.55,154
Kaine Padly,Canada,85% Dark Bars,2024-04-06,1859.96,33
Jan Morforth,New Zealand,Manuka Honey Choco,2024-07-28,1743.87,259
Gunar Cockshoot,New Zealand,Raspberry Choco,2024-08-24,758.28,57
Van Tuxwell,Australia,99% Dark & Pure,2024-01-17,125.37,138
Curtice Advani,USA,Drinking Coco,2024-02-07,6170.75,149
Brien Boise,Australia,Spicy Special Slims,2024-05-09,6867.13,273
Mallorie Waber,New Zealand,85% Dark Bars,2024-06-06,8775.45,113
Wilone O'Kielt,USA,Choco Coated Almonds,2024-06-06,10422.84,6
Beverie Moffet,New Zealand,Organic Choco Syrup,2024-05-24,7402.04,231
Gunar Cockshoot,UK,50% Dark Bites,2024-01-13,2498.04,129
Marney O'Breen,USA,Raspberry Choco,2024-05-23,6873.56,152
Jehu Rudeforth,UK,White Choc,2024-06-29,2015.93,304
Jehu Rudeforth,New Zealand,85% Dark Bars,2024-03-11,8077.51,95
Dotty Strutley,USA,85% Dark Bars,2024-04-25,11149.46,538
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2024-05-30,4739.39,236
Curtice Advani,India,Manuka Honey Choco,2024-05-23,1844.54,185
Mallorie Waber,USA,Peanut Butter Cubes,2024-05-23,1263.98,19
Van Tuxwell,Canada,Peanut Butter Cubes,2024-06-24,7527.84,306
Kelci Walkden,New Zealand,Smooth Sliky Salty,2024-03-11,12265.45,268
Rafaelita Blaksland,USA,Smooth Sliky Salty,2024-07-27,17662.05,230
Rafaelita Blaksland,USA,White Choc,2024-08-16,5520.0,120
Roddy Speechley,Canada,Smooth Sliky Salty,2024-03-07,10712.76,11
Curtice Advani,New Zealand,After Nines,2024-04-05,8416.8,29
Camilla Castle,India,85% Dark Bars,2024-05-04,9986.05,54
Ches Bonnell,USA,Choco Coated Almonds,2024-01-04,15629.82,89
Marney O'Breen,Australia,Baker's Choco Chips,2024-01-13,6224.33,100
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2024-07-11,7736.85,95
Kaine Padly,Australia,Mint Chip Choco,2024-05-17,4860.75,162
Camilla Castle,New Zealand,Peanut Butter Cubes,2024-07-21,1754.64,62
Curtice Advani,Canada,Organic Choco Syrup,2024-02-22,897.13,24
Jan Morforth,India,99% Dark & Pure,2024-05-23,10607.29,182
Rafaelita Blaksland,Canada,Drinking Coco,2024-07-12,10772.0,192
Jan Morforth,UK,Orange Choco,2024-06-15,4116.96,203
Barr Faughny,New Zealand,50% Dark Bites,2024-06-23,5185.36,321
Curtice Advani,Australia,Eclairs,2024-03-25,6974.95,58
Jan Morforth,India,Caramel Stuffed Bars,2024-07-04,99.5,161
Andria Kimpton,UK,White Choc,2024-05-12,10203.47,109
Camilla Castle,New Zealand,Raspberry Choco,2024-04-04,5081.52,148
Madelene Upcott,Australia,Orange Choco,2024-04-15,7166.62,381
Roddy Speechley,Canada,Eclairs,2024-03-08,7026.54,95
Karlen McCaffrey,India,White Choc,2024-01-17,8265.32,251
Wilone O'Kielt,India,Mint Chip Choco,2024-08-22,1516.19,53
Andria Kimpton,UK,99% Dark & Pure,2024-07-25,1258.54,72
Marney O'Breen,UK,50% Dark Bites,2024-06-14,3506.38,126
Ches Bonnell,India,Choco Coated Almonds,2024-04-05,10969.0,83
Madelene Upcott,UK,Raspberry Choco,2024-08-26,8442.19,347
Wilone O'Kielt,Australia,50% Dark Bites,2024-08-03,11000.85,112
Gigi Bohling,Canada,White Choc,2024-07-11,6987.59,4
Wilone O'Kielt,New Zealand,Eclairs,2024-03-11,3735.0,21
Brien Boise,UK,Peanut Butter Cubes,2024-01-10,17346.79,32
Roddy Speechley,UK,Baker's Choco Chips,2024-04-04,16517.2,349
Karlen McCaffrey,Australia,50% Dark Bites,2024-01-17,7642.94,778
Marney O'Breen,New Zealand,Organic Choco Syrup,2024-07-08,10337.23,49
Jan Morforth,UK,Organic Choco Syrup,2024-04-12,1367.24,384
Rafaelita Blaksland,Canada,Fruit & Nut Bars,2024-08-24,570.58,191
Ches Bonnell,UK,Choco Coated Almonds,2024-06-07,2012.27,259
Gunar Cockshoot,Canada,Almond Choco,2024-07-28,1469.24,29
Husein Augar,USA,99% Dark & Pure,2024-02-21,10020.18,113
Dennison Crosswaite,Canada,Mint Chip Choco,2024-04-08,1914.65,304
Brien Boise,UK,Manuka Honey Choco,2024-06-28,73.91,101
Van Tuxwell,UK,Baker's Choco Chips,2024-03-24,2794.33,21
Barr Faughny,Australia,Caramel Stuffed Bars,2024-07-29,3192.06,54
Dennison Crosswaite,USA,Eclairs,2024-05-25,2447.37,98
Gigi Bohling,Australia,Raspberry Choco,2024-03-30,7696.46,313
Dennison Crosswaite,USA,Organic Choco Syrup,2024-07-18,14731.55,132
Beverie Moffet,Canada,Orange Choco,2024-05-10,9321.64,111
Mallorie Waber,Australia,Choco Coated Almonds,2024-03-18,18473.63,88
Ches Bonnell,India,Caramel Stuffed Bars,2024-06-15,7437.55,54
Van Tuxwell,Canada,50% Dark Bites,2024-05-12,14581.33,58
Kelci Walkden,New Zealand,Baker's Choco Chips,2024-06-23,3389.96,115
Beverie Moffet,India,Spicy Special Slims,2024-04-21,3968.38,182
Gigi Bohling,Australia,Almond Choco,2024-08-17,1084.26,120
Rafaelita Blaksland,New Zealand,Eclairs,2024-02-07,20690.2,51
Kelci Walkden,Canada,Smooth Sliky Salty,2024-03-17,8929.57,121
Jan Morforth,India,Baker's Choco Chips,2024-08-01,15497.27,85
Jehu Rudeforth,Australia,Milk Bars,2024-03-18,9172.13,30
Gigi Bohling,Canada,Fruit & Nut Bars,2024-06-14,6093.61,104
Beverie Moffet,UK,Eclairs,2024-04-22,9144.79,156
Marney O'Breen,New Zealand,Eclairs,2024-01-18,5902.91,31
Husein Augar,Australia,99% Dark & Pure,2024-08-26,3277.47,131
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,2024-06-10,9759.53,424
Curtice Advani,Canada,70% Dark Bites,2024-01-31,2504.9,7
Kelci Walkden,New Zealand,Manuka Honey Choco,2024-04-08,1527.99,107
Dotty Strutley,Australia,Baker's Choco Chips,2024-06-07,3767.49,65
Barr Faughny,Australia,85% Dark Bars,2024-02-10,9452.18,42
Beverie Moffet,Australia,50% Dark Bites,2024-05-16,764.63,441
Gunar Cockshoot,India,Baker's Choco Chips,2024-03-18,2432.75,535
Van Tuxwell,Australia,50% Dark Bites,2024-07-13,779.04,134
Oby Sorrel,USA,Manuka Honey Choco,2024-07-25,5050.53,85
Van Tuxwell,Canada,Choco Coated Almonds,2024-08-19,2727.35,293
Karlen McCaffrey,Canada,70% Dark Bites,2024-06-24,9089.21,602
Kelci Walkden,Canada,Fruit & Nut Bars,2024-06-20,881.49,152
Camilla Castle,India,99% Dark & Pure,2024-08-02,227.55,225
Madelene Upcott,New Zealand,70% Dark Bites,2024-02-22,14193.58,102
Mallorie Waber,New Zealand,Orange Choco,2024-02-01,7459.88,23
